branch,commit,seed,run_id,initial_validation_mean_loss,final_train_mean_loss,final_validation_mean_loss,validation_delta_from_start,global_step,export_train_mean_loss,export_validation_delta_from_start
mini-data,975bcee,20260613,run-20260614-143657.750533942,9.322984313964843,7.79259220123291,7.997783346176147,-1.325200967788696,15000,7.7925920486450195,-1.3252009153366089
mini-data,975bcee,20260614,run-20260614-143803.877767917,9.618725872039795,7.699076805114746,7.934781560897827,-1.6839443111419676,15000,7.6990766525268555,-1.6839443445205688
mini-data,975bcee,20260615,run-20260614-143908.684674117,9.735864295959473,7.739968128204346,7.967277574539184,-1.7685867214202888,15000,7.739968299865723,-1.7685867547988892
mini-data,975bcee,20260616,run-20260614-144013.318508619,9.55381004333496,7.782725114822387,7.977361507415772,-1.576448535919189,15000,7.7827253341674805,-1.5764485597610474
mini-data,975bcee,20260617,run-20260614-144118.559766607,9.453363018035889,7.670392961502075,7.904600868225097,-1.5487621498107913,15000,7.670392990112305,-1.5487622022628784
experiment/mini-depth-plus-one,a4a1a85,20260613,run-20260614-144224.179270029,9.106886177062988,7.783588590621949,7.981191473007202,-1.1256947040557854,15000,7.783588409423828,-1.125694751739502
experiment/mini-depth-plus-one,a4a1a85,20260614,run-20260614-144331.979047929,10.043338203430176,7.680588464736939,7.906021499633789,-2.1373167037963867,15000,7.680588245391846,-2.1373167037963867
experiment/mini-depth-plus-one,a4a1a85,20260615,run-20260614-144439.165822745,10.909940814971923,7.639757041931152,7.906260433197022,-3.0036803817749016,15000,7.63975715637207,-3.003680467605591
experiment/mini-depth-plus-one,a4a1a85,20260616,run-20260614-144546.391077944,9.885904121398926,7.76668927192688,7.971804809570313,-1.9140993118286138,15000,7.766689300537109,-1.9140993356704712
experiment/mini-depth-plus-one,a4a1a85,20260617,run-20260614-144654.196124116,10.144709663391113,7.6197843170166015,7.873327932357788,-2.2713817310333253,15000,7.619784355163574,-2.2713816165924072
experiment/mini-depth-plus-three,c5859d5,20260613,run-20260614-144801.997620631,9.077324256896972,7.599719514846802,7.86480565071106,-1.2125186061859123,15000,7.599719524383545,-1.212518572807312
experiment/mini-depth-plus-three,c5859d5,20260614,run-20260614-144916.272364874,9.431860103607178,7.51670352935791,7.801263399124146,-1.6305967044830325,15000,7.5167036056518555,-1.6305967569351196
experiment/mini-depth-plus-three,c5859d5,20260615,run-20260614-145030.049658639,9.460654392242432,7.623365507125855,7.879075555801392,-1.5815788364410404,15000,7.62336540222168,-1.5815788507461548
experiment/mini-depth-plus-three,c5859d5,20260616,run-20260614-145143.742676443,9.37695478439331,7.5156039619445805,7.800910997390747,-1.5760437870025639,15000,7.515604019165039,-1.5760438442230225
experiment/mini-depth-plus-three,c5859d5,20260617,run-20260614-145257.158556139,9.788679370880127,7.472936887741088,7.777839193344116,-2.0108401775360107,15000,7.472937107086182,-2.0108401775360107
experiment/mini-smaller-output-tail,cd0e36b,20260613,run-20260614-145410.936383101,9.032997398376464,7.770832624435425,7.975519599914551,-1.057477798461913,15000,7.770832538604736,-1.0574778318405151
experiment/mini-smaller-output-tail,cd0e36b,20260614,run-20260614-145513.119018601,9.303880805969237,7.759259653091431,7.967919368743896,-1.3359614372253414,15000,7.7592597007751465,-1.3359614610671997
experiment/mini-smaller-output-tail,cd0e36b,20260615,run-20260614-145614.963775647,9.459482135772705,7.778850088119507,8.001348667144775,-1.4581334686279295,15000,7.778850078582764,-1.4581334590911865
experiment/mini-smaller-output-tail,cd0e36b,20260616,run-20260614-145716.930765379,9.28599069595337,7.7364418506622314,7.949813070297242,-1.336177625656128,15000,7.736441612243652,-1.3361775875091553
experiment/mini-smaller-output-tail,cd0e36b,20260617,run-20260614-145818.674262687,9.960364799499512,7.694575653076172,7.918194980621338,-2.0421698188781745,15000,7.694575786590576,-2.0421698093414307
experiment/mini-flat-state-encoder,f1b470d,20260613,run-20260614-145920.669875783,8.938624687194825,7.79655348777771,7.989010143280029,-0.9496145439147954,15000,7.796553611755371,-0.9496145248413086
experiment/mini-flat-state-encoder,f1b470d,20260614,run-20260614-150023.046329046,9.107972774505615,7.799996719360352,7.996793355941772,-1.111179418563843,15000,7.799996852874756,-1.1111794710159302
experiment/mini-flat-state-encoder,f1b470d,20260615,run-20260614-150125.429020719,9.294372291564942,7.807119264602661,8.003759021759032,-1.2906132698059096,15000,7.807119369506836,-1.2906132936477661
experiment/mini-flat-state-encoder,f1b470d,20260616,run-20260614-150227.537975414,9.014113540649413,7.796735715866089,7.983587474822998,-1.0305260658264155,15000,7.796735763549805,-1.030526041984558
experiment/mini-flat-state-encoder,f1b470d,20260617,run-20260614-150330.280081109,8.829854335784912,7.858632764816284,8.03278190612793,-0.797072429656982,15000,7.858632564544678,-0.7970724105834961
experiment/mini-deep-small-tail,3201342,20260613,run-20260614-150432.865981829,9.175888805389404,7.683784093856811,7.911352596282959,-1.2645362091064447,15000,7.683784008026123,-1.2645362615585327
experiment/mini-deep-small-tail,3201342,20260614,run-20260614-150544.328072391,9.699995479583741,7.596194953918457,7.849747848510742,-1.8502476310729987,15000,7.596194744110107,-1.8502476215362549
experiment/mini-deep-small-tail,3201342,20260615,run-20260614-150654.511467569,9.616614742279053,7.5144932746887205,7.79040771484375,-1.826207027435303,15000,7.514493465423584,-1.8262070417404175
experiment/mini-deep-small-tail,3201342,20260616,run-20260614-150804.457849623,9.610631465911865,7.673537435531617,7.900315446853638,-1.7103160190582276,15000,7.673537254333496,-1.7103160619735718
experiment/mini-deep-small-tail,3201342,20260617,run-20260614-150914.958844733,10.205589046478272,7.514236812591553,7.804286947250366,-2.4013020992279053,15000,7.514236927032471,-2.4013020992279053
experiment/mini-transformer-state,8493ac2,20260613,run-20260614-151025.164032123,32.376083602905275,7.81752794265747,8.040271091461182,-24.335812511444093,15000,7.817527770996094,-24.335811614990234
experiment/mini-transformer-state,8493ac2,20260614,run-20260614-151137.380948408,29.0583479309082,7.432107725143433,7.823599767684937,-21.234748163223266,15000,7.432107925415039,-21.23474884033203
experiment/mini-transformer-state,8493ac2,20260615,run-20260614-151247.365646555,25.335836486816405,7.742290105819702,7.994490995407104,-17.3413454914093,15000,7.742290019989014,-17.341344833374023
experiment/mini-transformer-state,8493ac2,20260616,run-20260614-151354.932868093,21.42356788635254,7.689076347351074,7.939833669662476,-13.483734216690063,15000,7.6890764236450195,-13.483734130859375
